name
vAdditionalContactInfo
vEmployee
vEmployeeDepartment
vEmployeeDepartmentHistory
vIndividualCustomer
vPersonDemographics
vJobCandidate
vJobCandidateEmployment
vJobCandidateEducation
vProductAndDescription
vProductModelCatalogDescription
vProductModelInstructions
vSalesPerson
vSalesPersonSalesByFiscalYears
vStateProvinceCountryRegion
vStoreWithDemographics
vStoreWithContacts
vStoreWithAddresses
vVendorWithContacts
vVendorWithAddresses
